run_id,segment,start_ts,end_ts,trades,expectancy_R,pf,winrate
20260221_075421,S1,2023-02-03T10:05:00+00:00,2023-02-14T11:52:30+00:00,1,-1.13848,0.0,0.0
20260221_075421,S2,2023-02-14T11:52:30+00:00,2023-02-25T13:40:00+00:00,0,,,
20260221_075421,S3,2023-02-25T13:40:00+00:00,2023-03-08T15:27:30+00:00,0,,,
20260221_075421,S4,2023-03-08T15:27:30+00:00,2023-03-19T17:15:00+00:00,1,1.5041,inf,1.0
20260221_063806,S1,2023-01-11T09:50:00+00:00,2023-04-08T22:01:15+00:00,42,-0.07988619047619047,0.712533735445565,0.42857142857142855
20260221_063806,S2,2023-04-08T22:01:15+00:00,2023-07-05T10:12:30+00:00,25,-0.06715,0.6998780740708956,0.48
20260221_063806,S3,2023-07-05T10:12:30+00:00,2023-09-30T22:23:45+00:00,31,-0.11016548387096774,0.6026002799728638,0.45161290322580644
20260221_063806,S4,2023-09-30T22:23:45+00:00,2023-12-27T10:35:00+00:00,42,-0.11413190476190477,0.5350591658583899,0.4523809523809524
20260221_064929,S1,2023-02-02T10:00:00+00:00,2023-04-14T15:55:00+00:00,2,-0.6393150000000001,0.0,0.0
20260221_064929,S2,2023-04-14T15:55:00+00:00,2023-06-24T21:50:00+00:00,0,,,
20260221_064929,S3,2023-06-24T21:50:00+00:00,2023-09-04T03:45:00+00:00,0,,,
20260221_064929,S4,2023-09-04T03:45:00+00:00,2023-11-14T09:40:00+00:00,2,0.38665000000000005,5.95260663507109,0.5
20260221_074352,S1,2023-01-13T09:35:00+00:00,2023-04-10T09:51:15+00:00,46,-0.18114,0.7657828236689649,0.32608695652173914
20260221_074352,S2,2023-04-10T09:51:15+00:00,2023-07-06T10:07:30+00:00,29,-0.1461106896551725,0.789673203003697,0.3793103448275862
20260221_074352,S3,2023-07-06T10:07:30+00:00,2023-10-01T10:23:45+00:00,17,0.04495529411764707,1.0714643057188091,0.4117647058823529
20260221_074352,S4,2023-10-01T10:23:45+00:00,2023-12-27T10:40:00+00:00,35,-0.24346114285714288,0.7010724170955281,0.3142857142857143
